id,page,department,series,name,spec,basePrice,designerPrice,retailPrice,designerAllowed,shopAllowed,source,notes
"FIOLE-0013","1","藥水","F.綻放柔妝燙","Ha1 一劑（液狀）","400mL","350","263","0","true","false","LINE_ALBUM_Fiole價目表_260804_1.jpg",""
"FIOLE-0014","1","藥水","F.綻放柔妝燙","Sa1 一劑（液狀）","400mL","350","263","0","true","false","LINE_ALBUM_Fiole價目表_260804_1.jpg",""
"FIOLE-0015","1","藥水","F.綻放柔妝燙","Ec1 一劑（膏狀）","400g","500","375","0","true","false","LINE_ALBUM_Fiole價目表_260804_1.jpg",""
"FIOLE-0016","1","藥水","F.綻放柔妝燙","Hc1 一劑（膏狀）","400g","500","375","0","true","false","LINE_ALBUM_Fiole價目表_260804_1.jpg",""
"FIOLE-0017","1","藥水","F.綻放柔妝燙","Sc1 一劑（膏狀）","400g","500","375","0","true","false","LINE_ALBUM_Fiole價目表_260804_1.jpg",""
"FIOLE-0018","1","藥水","F.綻放柔妝燙","Ac1 一劑（膏狀）","400g","500","375","0","true","false","LINE_ALBUM_Fiole價目表_260804_1.jpg",""
"FIOLE-0019","1","藥水","F.綻放柔妝燙","燙前衛士","130g","500","375","0","true","false","LINE_ALBUM_Fiole價目表_260804_1.jpg",""
"FIOLE-0020","2","護髮系統","F.PROTECT 前中後處理","FP01 前置處理乳","300mL","450","338","0","true","true","LINE_ALBUM_Fiole價目表_260804_2.jpg",""
"FIOLE-0021","2","護髮系統","F.PROTECT 前中後處理","FP02 前置處理凝膠","300mL","450","338","0","true","true","LINE_ALBUM_Fiole價目表_260804_2.jpg",""
"FIOLE-0022","2","護髮系統","F.PROTECT 前中後處理","FP03 術後處理乳","300g","450","338","0","true","true","LINE_ALBUM_Fiole價目表_260804_2.jpg",""
"FIOLE-0023","2","護髮系統","F.PROTECT 前中後處理","FP00 頭皮保護乳化劑 補充包","1000mL","1400","1050","0","true","true","LINE_ALBUM_Fiole價目表_260804_2.jpg",""
"FIOLE-0024","2","護髮系統","F.PROTECT 前中後處理","FP01 前置處理乳 補充包","1500mL","1400","1050","0","true","true","LINE_ALBUM_Fiole價目表_260804_2.jpg",""
"FIOLE-0025","2","護髮系統","F.PROTECT 前中後處理","FP02 前置處理凝膠 補充包","1500mL","1400","1050","0","true","true","LINE_ALBUM_Fiole價目表_260804_2.jpg",""
"FIOLE-0026","2","護髮系統","F.PROTECT 前中後處理","FP04 中間處理劑 補充包","1500mL","1400","1050","0","true","true","LINE_ALBUM_Fiole價目表_260804_2.jpg",""
"FIOLE-0027","2","護髮系統","F.PROTECT 前中後處理","FP03 術後處理乳 補充包","1500g","1400","1050","0","true","true","LINE_ALBUM_Fiole價目表_260804_2.jpg",""
"FIOLE-0028","2","其他耗材","F.PROTECT 瓶材","FP01／FP02 專用空瓶","100mL","100","75","0","true","true","LINE_ALBUM_Fiole價目表_260804_2.jpg",""
"FIOLE-0029","2","其他耗材","F.PROTECT 瓶材","FP03 專用空瓶","1000mL","150","113","0","true","true","LINE_ALBUM_Fiole價目表_260804_2.jpg",""
"FIOLE-0030","2","其他耗材","F.PROTECT 瓶材","FP04 專業慕斯瓶","200mL","150","113","0","true","true","LINE_ALBUM_Fiole價目表_260804_2.jpg",""
"FIOLE-0031","2","護髮／造型","F.Protect OFF 零粹","BLEACH OFF BO 解髮露（處理液）","800mL","1500","1125","0","true","true","LINE_ALBUM_Fiole價目表_260804_2.jpg",""
"FIOLE-0032","2","洗髮／護髮","F.Protect OFF 零粹","METAL OFF MO 螯金洗（洗髮精）","900mL","600","450","0","true","true","LINE_ALBUM_Fiole價目表_260804_2.jpg",""
"FIOLE-0033","2","護髮／造型","F.Protect OFF 零粹","ALKALI OFF AO 平鹼護（護髮素）","900mL","880","660","0","true","true","LINE_ALBUM_Fiole價目表_260804_2.jpg",""
"FIOLE-0034","2","護髮／造型","F.Protect OFF 零粹","BLEACH OFF BO 解髮露 旅行包","100mL","280","210","0","true","true","LINE_ALBUM_Fiole價目表_260804_2.jpg",""
"FIOLE-0035","2","洗髮／護髮","F.Protect OFF 零粹","METAL OFF MO 螯金洗 旅行包","100mL","150","113","300","true","true","LINE_ALBUM_Fiole價目表_260804_2.jpg",""
"FIOLE-0036","2","護髮／造型","F.Protect OFF 零粹","ALKALI OFF AO 平鹼護 旅行包","100mL","150","113","300","true","true","LINE_ALBUM_Fiole價目表_260804_2.jpg",""
"FIOLE-0037","2","其他耗材","F.Protect OFF 零粹","BLEACH OFF BO 專用瓶","250mL","200","150","0","true","true","LINE_ALBUM_Fiole價目表_260804_2.jpg",""
"FIOLE-0038","3","藥水","綻放染劑","綻放雙氧乳 OX6%","1000mL","360","270","0","false","true","LINE_ALBUM_Fiole價目表_260804_3.jpg",""
"FIOLE-0039","3","藥水","綻放染劑","綻放雙氧乳 OX3%","1000mL","360","270","0","false","true","LINE_ALBUM_Fiole價目表_260804_3.jpg",""
"FIOLE-0040","3","藥水","綻放染劑","綻放雙氧乳 OX6%","2000mL","650","488","0","false","true","LINE_ALBUM_Fiole價目表_260804_3.jpg",""
"FIOLE-0041","3","藥水","綻放染劑","綻放雙氧乳 OX3%","2000mL","650","488","0","false","true","LINE_ALBUM_Fiole價目表_260804_3.jpg",""
"FIOLE-0042","3","藥水","綻放染劑","綻放雙氧乳 OX1.5%","2000mL","650","488","0","false","true","LINE_ALBUM_Fiole價目表_260804_3.jpg",""
"FIOLE-0043","3","藥水","綻放染劑","綻放 AC6%","2000mL","650","488","0","false","true","LINE_ALBUM_Fiole價目表_260804_3.jpg",""
"FIOLE-0044","3","藥水","綻放染劑","綻放 AC3%","2000mL","650","488","0","false","true","LINE_ALBUM_Fiole價目表_260804_3.jpg",""
"FIOLE-0045","3","藥水","根本染劑","根本雙氧乳 OX6%","2000mL","650","488","0","false","true","LINE_ALBUM_Fiole價目表_260804_3.jpg",""
"FIOLE-0046","3","藥水","根本染劑","根本雙氧乳 OX3%","2000mL","650","488","0","false","true","LINE_ALBUM_Fiole價目表_260804_3.jpg",""
"FIOLE-0047","3","染膏","露西亞漂粉","露西亞漂粉（極速型）","500g","900","630","0","true","false","LINE_ALBUM_Fiole價目表_260804_3.jpg",""
"FIOLE-0048","3","染膏","露西亞漂粉","露西亞漂粉","500g","900","630","0","true","false","LINE_ALBUM_Fiole價目表_260804_3.jpg",""
"FIOLE-0049","3","其他耗材","染劑周邊","色卡（綻放／根本／露西亞）","","1500","1125","0","true","true","LINE_ALBUM_Fiole價目表_260804_3.jpg",""
"FIOLE-0050","3","其他耗材","染劑周邊","染劑去色水（擦拭用化妝水）","280mL","320","240","0","true","true","LINE_ALBUM_Fiole價目表_260804_3.jpg",""
"FIOLE-0051","3","藥水","染劑周邊","馥郁雙氧乳 6%（灰頭）","2000g","650","488","0","false","true","LINE_ALBUM_Fiole價目表_260804_3.jpg",""
"FIOLE-0052","3","藥水","染劑周邊","馥郁雙氧乳 9%（灰頭）","2000g","650","488","0","false","true","LINE_ALBUM_Fiole價目表_260804_3.jpg",""
"FIOLE-0053","3","藥水","原子系列","原子雙氧乳 3%","2000g","800","600","0","false","true","LINE_ALBUM_Fiole價目表_260804_3.jpg",""
"FIOLE-0054","3","藥水","原子系列","原子雙氧乳 6%","2000g","800","600","0","false","true","LINE_ALBUM_Fiole價目表_260804_3.jpg",""
"FIOLE-0055","3","頭皮／隔離","原子系列","原子頭皮隔離","200g","350","263","0","true","true","LINE_ALBUM_Fiole價目表_260804_3.jpg",""
"FIOLE-0056","4","護髮系統","np3.1 柔絲結構式護髮","np3.1 個人化小組合 AF（藍）盒裝","130g","500","375","0","true","true","LINE_ALBUM_Fiole價目表_260804_4.jpg",""
"FIOLE-0057","4","護髮系統","np3.1 柔絲結構式護髮","np3.1 個人化小組合 MF（紅）盒裝","125g","500","375","0","true","true","LINE_ALBUM_Fiole價目表_260804_4.jpg",""
"FIOLE-0058","4","護髮系統","np3.1 柔絲結構式護髮","np3.1 護髮一劑 BC1","130g","550","413","0","true","false","LINE_ALBUM_Fiole價目表_260804_4.jpg",""
"FIOLE-0059","4","護髮系統","np3.1 柔絲結構式護髮","np3.1 護髮二劑 AF2（藍）","130g","400","300","0","true","false","LINE_ALBUM_Fiole價目表_260804_4.jpg",""
"FIOLE-0060","4","護髮系統","np3.1 柔絲結構式護髮","np3.1 護髮二劑 MF2（紅）","130g","400","300","0","true","false","LINE_ALBUM_Fiole價目表_260804_4.jpg",""
"FIOLE-0061","4","護髮系統","np3.1 柔絲結構式護髮","np3.1 護髮三劑 AF3（藍）","130g","550","413","0","true","true","LINE_ALBUM_Fiole價目表_260804_4.jpg",""
"FIOLE-0062","4","護髮系統","np3.1 柔絲結構式護髮","np3.1 護髮三劑 MF3（紅）","130g","550","413","0","true","true","LINE_ALBUM_Fiole價目表_260804_4.jpg",""
"FIOLE-0063","4","護髮／造型","np3.1 居家四劑","np3.1 居家四劑 AF+1（藍）","50g","220","165","440","true","true","LINE_ALBUM_Fiole價目表_260804_4.jpg",""
"FIOLE-0064","4","護髮／造型","np3.1 居家四劑","np3.1 居家四劑 MF+1（紅）","50g","220","165","440","true","true","LINE_ALBUM_Fiole價目表_260804_4.jpg",""
"FIOLE-0065","4","護髮／造型","np3.1 居家四劑","np3.1 居家四劑 AF+1（藍）","100g","420","315","840","true","true","LINE_ALBUM_Fiole價目表_260804_4.jpg",""
"FIOLE-0066","4","護髮／造型","np3.1 居家四劑","np3.1 居家四劑 MF+1（紅）","100g","420","315","840","true","true","LINE_ALBUM_Fiole價目表_260804_4.jpg",""
"FIOLE-0067","4","護髮／造型","np3.1 居家四劑","np3.1 居家四劑 AF+1（藍）","240g","820","615","1640","true","true","LINE_ALBUM_Fiole價目表_260804_4.jpg",""
"FIOLE-0068","4","護髮／造型","np3.1 居家四劑","np3.1 居家四劑 MF+1（紅）","240g","820","615","1640","true","true","LINE_ALBUM_Fiole價目表_260804_4.jpg",""
"FIOLE-0069","4","護髮系統","F.Protect CUREALL","CUREALL 護髮一劑 C.A1","400mL","660","495","0","true","false","LINE_ALBUM_Fiole價目表_260804_4.jpg",""
"FIOLE-0070","4","護髮系統","F.Protect CUREALL","CUREALL 護髮二劑 C.A2","250mL","660","495","0","true","false","LINE_ALBUM_Fiole價目表_260804_4.jpg",""
"FIOLE-0071","4","護髮系統","F.Protect CUREALL","CUREALL 護髮三劑 C.A3","125mL","660","495","0","true","true","LINE_ALBUM_Fiole價目表_260804_4.jpg",""
"FIOLE-0072","4","護髮／造型","F.Protect CUREALL","CUREALL 居家修護凝露","30mL","250","188","500","true","true","LINE_ALBUM_Fiole價目表_260804_4.jpg",""
"FIOLE-0073","4","護髮／造型","F.Protect CUREALL","CUREALL 居家修護凝露","100mL","420","315","840","true","true","LINE_ALBUM_Fiole價目表_260804_4.jpg",""
"FIOLE-0074","4","護髮系統","F.PROTESI 生命之鍵","F.color 生命之鍵 B 中和劑","300mL","450","338","0","true","true","LINE_ALBUM_Fiole價目表_260804_4.jpg",""
"FIOLE-0075","4","護髮系統","F.PROTESI 生命之鍵","F.color 生命之鍵 01","300mL","720","540","0","true","true","LINE_ALBUM_Fiole價目表_260804_4.jpg",""
"FIOLE-0076","4","護髮系統","F.PROTESI 生命之鍵","F.color 生命之鍵 02 補充包","550g","720","540","0","true","true","LINE_ALBUM_Fiole價目表_260804_4.jpg",""
"FIOLE-0077","4","護髮系統","F.PROTESI 生命之鍵","F.color 生命之鍵 03 補充包","550g","1200","900","0","true","true","LINE_ALBUM_Fiole價目表_260804_4.jpg",""
"FIOLE-0078","4","其他耗材","F.PROTESI 生命之鍵","F.color 生命之鍵 02 專用環保空瓶","","200","150","0","true","true","LINE_ALBUM_Fiole價目表_260804_4.jpg",""
"FIOLE-0079","4","其他耗材","F.PROTESI 生命之鍵","F.color 生命之鍵 03 專用環保空瓶","","200","150","0","true","true","LINE_ALBUM_Fiole價目表_260804_4.jpg",""
"FIOLE-0080","4","洗髮／護髮","呵護系列","呵護洗髮精（營業用）","5L","1800","1350","0","true","true","LINE_ALBUM_Fiole價目表_260804_4.jpg",""
"FIOLE-0081","4","洗髮／護髮","呵護系列","呵護護髮乳（營業用）","5L","1800","1350","0","true","true","LINE_ALBUM_Fiole價目表_260804_4.jpg",""
"FIOLE-0082","4","其他耗材","呵護系列","呵護專用空瓶","1000mL","180","135","360","true","true","LINE_ALBUM_Fiole價目表_260804_4.jpg",""
"FIOLE-0083","4","洗髮／護髮","呵護系列","呵護洗髮精","60mL","100","75","200","true","true","LINE_ALBUM_Fiole價目表_260804_4.jpg",""
"FIOLE-0084","4","洗髮／護髮","呵護系列","呵護護髮乳","60mL","100","75","200","true","true","LINE_ALBUM_Fiole價目表_260804_4.jpg",""
"FIOLE-0085","5","護髮／造型","F.Protect ADMORE","艾茉護髮霜（條狀）","150g","550","413","1100","true","true","LINE_ALBUM_Fiole價目表_260804_5.jpg",""
"FIOLE-0086","5","護髮系統","F.Protect ADMORE","艾茉護髮霜 補充包","550g","1400","1050","0","true","true","LINE_ALBUM_Fiole價目表_260804_5.jpg",""
"FIOLE-0087","5","其他耗材","F.Protect ADMORE","艾茉護髮霜 補充包專用瓶","","200","150","0","true","true","LINE_ALBUM_Fiole價目表_260804_5.jpg",""
"FIOLE-0088","5","護髮／造型","F.Protect ADMORE","艾茉免沖洗護髮慕斯","160g","550","413","1100","true","true","LINE_ALBUM_Fiole價目表_260804_5.jpg",""
"FIOLE-0089","5","洗髮／護髮","F.Protect ADMORE 旅行","檸檬菊花洗髮精","100mL","200","150","400","true","true","LINE_ALBUM_Fiole價目表_260804_5.jpg",""
"FIOLE-0090","5","洗髮／護髮","F.Protect ADMORE 旅行","檸檬杏花護髮素（輕潤）","100mL","200","150","400","true","true","LINE_ALBUM_Fiole價目表_260804_5.jpg",""
"FIOLE-0091","5","洗髮／護髮","F.Protect ADMORE 旅行","檸檬杏花護髮素（極潤）","100mL","200","150","400","true","true","LINE_ALBUM_Fiole價目表_260804_5.jpg",""
"FIOLE-0092","5","洗髮／護髮","F.Protect ADMORE 店販","檸檬菊花洗髮精","400mL","550","413","1100","true","true","LINE_ALBUM_Fiole價目表_260804_5.jpg",""
"FIOLE-0093","5","洗髮／護髮","F.Protect ADMORE 店販","檸檬杏花護髮素（輕潤）","400g","550","413","1100","true","true","LINE_ALBUM_Fiole價目表_260804_5.jpg",""
"FIOLE-0094","5","洗髮／護髮","F.Protect ADMORE 店販","檸檬杏花護髮素（極潤）","400g","550","413","1100","true","true","LINE_ALBUM_Fiole價目表_260804_5.jpg",""
"FIOLE-0095","5","洗髮／護髮","F.Protect ADMORE 補充包","檸檬菊花洗髮精","800mL","775","581","1550","true","true","LINE_ALBUM_Fiole價目表_260804_5.jpg",""
"FIOLE-0096","5","洗髮／護髮","F.Protect ADMORE 補充包","檸檬杏花護髮素（輕潤）","800g","775","581","1550","true","true","LINE_ALBUM_Fiole價目表_260804_5.jpg",""
"FIOLE-0097","5","洗髮／護髮","F.Protect ADMORE 補充包","檸檬杏花護髮素（極潤）","800g","775","581","1550","true","true","LINE_ALBUM_Fiole價目表_260804_5.jpg",""
"FIOLE-0098","6","洗髮／護髮","FASCINATO","抗老頭皮 AB（藍）洗髮精","250mL","475","356","950","true","true","LINE_ALBUM_Fiole價目表_260804_6.jpg",""
"FIOLE-0099","6","洗髮／護髮","FASCINATO","彈潤修護 AC（紅）洗髮精","250mL","475","356","950","true","true","LINE_ALBUM_Fiole價目表_260804_6.jpg",""
"FIOLE-0100","6","洗髮／護髮","FASCINATO","抗老頭皮 AB（藍）洗髮精 補充包","700mL","950","713","1900","true","true","LINE_ALBUM_Fiole價目表_260804_6.jpg",""
"FIOLE-0101","6","洗髮／護髮","FASCINATO","彈潤修護 AC（紅）洗髮精 補充包","700mL","950","713","1900","true","true","LINE_ALBUM_Fiole價目表_260804_6.jpg",""
"FIOLE-0102","6","其他耗材","FASCINATO","抗老頭皮 AB 洗髮精補充包專用瓶","700mL","150","113","300","true","true","LINE_ALBUM_Fiole價目表_260804_6.jpg",""
"FIOLE-0103","6","其他耗材","FASCINATO","彈潤修護 AC 洗髮精補充包專用瓶","700mL","150","113","300","true","true","LINE_ALBUM_Fiole價目表_260804_6.jpg",""
"FIOLE-0104","6","洗髮／護髮","FASCINATO","抗老頭皮 AB（藍）護髮素","180g","475","356","950","true","true","LINE_ALBUM_Fiole價目表_260804_6.jpg",""
"FIOLE-0105","6","洗髮／護髮","FASCINATO","彈潤修護 AC（紅）護髮素","180g","475","356","950","true","true","LINE_ALBUM_Fiole價目表_260804_6.jpg",""
"FIOLE-0106","6","洗髮／護髮","FASCINATO","抗老頭皮 AB（藍）護髮素 補充包","700g","1300","975","2600","true","true","LINE_ALBUM_Fiole價目表_260804_6.jpg",""
"FIOLE-0107","6","洗髮／護髮","FASCINATO","彈潤修護 AC（紅）護髮素 補充包","700g","1300","975","2600","true","true","LINE_ALBUM_Fiole價目表_260804_6.jpg",""
"FIOLE-0108","6","其他耗材","FASCINATO","抗老頭皮 AB 護髮素補充包專用瓶","700g","150","113","300","true","true","LINE_ALBUM_Fiole價目表_260804_6.jpg",""
"FIOLE-0109","6","其他耗材","FASCINATO","彈潤修護 AC 護髮素補充包專用瓶","700g","150","113","300","true","true","LINE_ALBUM_Fiole價目表_260804_6.jpg",""
"FIOLE-0110","6","洗髮／護髮","FASCINATO 試用","抗老頭皮 AB 洗護試用包","8mL&8g","45","34","90","true","true","LINE_ALBUM_Fiole價目表_260804_6.jpg",""
"FIOLE-0111","6","洗髮／護髮","FASCINATO 試用","彈潤修護 AC 洗護試用包","8mL&8g","45","34","90","true","true","LINE_ALBUM_Fiole價目表_260804_6.jpg",""
"FIOLE-0112","6","洗髮／護髮","FASCINATO","豐韌 AB 免沖洗精華乳","100mL","360","270","720","true","true","LINE_ALBUM_Fiole價目表_260804_6.jpg",""
"FIOLE-0113","6","洗髮／護髮","FASCINATO","彈潤 AC 免沖洗精華乳","100mL","360","270","720","true","true","LINE_ALBUM_Fiole價目表_260804_6.jpg",""
"FIOLE-0114","6","洗髮／護髮","FASCINATO 試用","豐韌 AB 免沖洗精華乳試用包","3mL","30","23","60","true","true","LINE_ALBUM_Fiole價目表_260804_6.jpg",""
"FIOLE-0115","6","洗髮／護髮","FASCINATO 試用","彈潤 AC 免沖洗精華乳試用包","3mL","30","23","60","true","true","LINE_ALBUM_Fiole價目表_260804_6.jpg",""
"FIOLE-0116","6","洗髮／護髮","FASCINATO","沐浴露","600mL","450","338","900","true","true","LINE_ALBUM_Fiole價目表_260804_6.jpg",""
"FIOLE-0117","6","頭皮／隔離","FASCINATO","抗老頭皮養髮液","150mL","600","450","1200","true","true","LINE_ALBUM_Fiole價目表_260804_6.jpg",""
"FIOLE-0118","6","洗髮／護髮","F.Protect 染燙專用","BASIC 豐盈洗髮精","300mL","360","270","720","true","true","LINE_ALBUM_Fiole價目表_260804_6.jpg",""
"FIOLE-0119","6","洗髮／護髮","F.Protect 染燙專用","RICH 滋潤洗髮精","300mL","360","270","720","true","true","LINE_ALBUM_Fiole價目表_260804_6.jpg",""
"FIOLE-0120","6","洗髮／護髮","F.Protect 染燙專用","DX 頭皮健康洗髮精","300mL","360","270","720","true","true","LINE_ALBUM_Fiole價目表_260804_6.jpg",""
"FIOLE-0121","6","洗髮／護髮","F.Protect 染燙專用","BASIC 豐盈洗髮精","1000mL","900","675","1800","true","true","LINE_ALBUM_Fiole價目表_260804_6.jpg",""
"FIOLE-0122","6","洗髮／護髮","F.Protect 染燙專用","RICH 滋潤洗髮精","1000mL","900","675","1800","true","true","LINE_ALBUM_Fiole價目表_260804_6.jpg",""
"FIOLE-0123","6","洗髮／護髮","F.Protect 染燙專用","BASIC 豐盈洗髮精 補充包","1000mL","800","600","1600","true","true","LINE_ALBUM_Fiole價目表_260804_6.jpg",""
"FIOLE-0124","6","洗髮／護髮","F.Protect 染燙專用","RICH 滋潤洗髮精 補充包","1000mL","800","600","1600","true","true","LINE_ALBUM_Fiole價目表_260804_6.jpg",""
"FIOLE-0125","6","洗髮／護髮","F.Protect 染燙專用","DX 頭皮健康洗髮精 補充包","1000mL","800","600","1600","true","true","LINE_ALBUM_Fiole價目表_260804_6.jpg",""
"FIOLE-0126","6","洗髮／護髮","F.Protect 染燙專用","BASIC 豐盈護髮膜","200g","360","270","720","true","true","LINE_ALBUM_Fiole價目表_260804_6.jpg",""
"FIOLE-0127","6","洗髮／護髮","F.Protect 染燙專用","RICH 滋潤護髮膜","200g","360","270","720","true","true","LINE_ALBUM_Fiole價目表_260804_6.jpg",""
"FIOLE-0128","6","洗髮／護髮","F.Protect 染燙專用","DX 頭皮健康護髮膜","200g","360","270","720","true","true","LINE_ALBUM_Fiole價目表_260804_6.jpg",""
"FIOLE-0129","6","洗髮／護髮","F.Protect 染燙專用","BASIC 豐盈護髮膜","1000g","1440","1080","2880","true","true","LINE_ALBUM_Fiole價目表_260804_6.jpg",""
"FIOLE-0130","6","洗髮／護髮","F.Protect 染燙專用","RICH 滋潤護髮膜","1000g","1440","1080","2880","true","true","LINE_ALBUM_Fiole價目表_260804_6.jpg",""
"FIOLE-0131","6","洗髮／護髮","F.Protect 染燙專用","BASIC 豐盈護髮膜 補充包","1000g","1300","975","2600","true","true","LINE_ALBUM_Fiole價目表_260804_6.jpg",""
"FIOLE-0132","6","洗髮／護髮","F.Protect 染燙專用","RICH 滋潤護髮膜 補充包","1000g","1300","975","2600","true","true","LINE_ALBUM_Fiole價目表_260804_6.jpg",""
"FIOLE-0133","6","洗髮／護髮","F.Protect 染燙專用","DX 頭皮健康護髮膜 補充包","1000g","1300","975","2600","true","true","LINE_ALBUM_Fiole價目表_260804_6.jpg",""
"FIOLE-0134","6","洗髮／護髮","F.Protect 染燙專用試用","BASIC 豐盈洗護試用包","8mL&8g","45","34","90","true","true","LINE_ALBUM_Fiole價目表_260804_6.jpg",""
"FIOLE-0135","6","洗髮／護髮","F.Protect 染燙專用試用","RICH 滋潤洗護試用包","8mL&8g","45","34","90","true","true","LINE_ALBUM_Fiole價目表_260804_6.jpg",""
"FIOLE-0136","6","洗髮／護髮","FORMKEEPER","抗熱免沖洗護髮精華","200g","300","225","600","true","true","LINE_ALBUM_Fiole價目表_260804_6.jpg",""
"FIOLE-0137","6","洗髮／護髮","FORMKEEPER","抗熱免沖洗護髮精華 試用包","5mL","20","15","40","true","true","LINE_ALBUM_Fiole價目表_260804_6.jpg",""
"FIOLE-0138","7","護髮／造型","大地果油","Level 1 艷澤 旅行包","7g","150","113","300","true","true","LINE_ALBUM_Fiole價目表_260804_7.jpg",""
"FIOLE-0139","7","護髮／造型","大地果油","Level 2 奢耀 旅行包","7g","150","113","300","true","true","LINE_ALBUM_Fiole價目表_260804_7.jpg",""
"FIOLE-0140","7","護髮／造型","大地果油","Level 1 艷澤","100mL","700","525","1400","true","true","LINE_ALBUM_Fiole價目表_260804_7.jpg",""
"FIOLE-0141","7","護髮／造型","大地果油","Level 2 奢耀","100mL","700","525","1400","true","true","LINE_ALBUM_Fiole價目表_260804_7.jpg",""
"FIOLE-0142","7","護髮／造型","大地果油","Level 0 經典","50g","350","263","700","true","true","LINE_ALBUM_Fiole價目表_260804_7.jpg",""
"FIOLE-0143","7","護髮／造型","大地果油","Level 0 經典","140g","600","450","1200","true","true","LINE_ALBUM_Fiole價目表_260804_7.jpg",""
"FIOLE-0144","7","護髮／造型","大地果油","Level 0 經典 試用包","5g","20","15","40","true","true","LINE_ALBUM_Fiole價目表_260804_7.jpg",""
"FIOLE-0145","7","洗髮／護髮","QUALUCIA COLOR","極光紫","250mL","480","360","800","true","true","LINE_ALBUM_Fiole價目表_260804_7.jpg",""
"FIOLE-0146","7","洗髮／護髮","QUALUCIA COLOR","仙氣粉","250mL","480","360","800","true","true","LINE_ALBUM_Fiole價目表_260804_7.jpg",""
"FIOLE-0147","7","洗髮／護髮","QUALUCIA COLOR","清水灰","250mL","480","360","800","true","true","LINE_ALBUM_Fiole價目表_260804_7.jpg",""
"FIOLE-0148","7","洗髮／護髮","QUALUCIA COLOR","琥珀橘","250mL","480","360","800","true","true","LINE_ALBUM_Fiole價目表_260804_7.jpg",""
"FIOLE-0149","7","洗髮／護髮","QUALUCIA COLOR","布朗棕","250mL","480","360","800","true","true","LINE_ALBUM_Fiole價目表_260804_7.jpg",""
"FIOLE-0150","7","洗髮／護髮","QUALUCIA COLOR","奶霜棕","250mL","480","360","800","true","true","LINE_ALBUM_Fiole價目表_260804_7.jpg",""
"FIOLE-0151","7","洗髮／護髮","QUALUCIA COLOR","紫藤櫻","250mL","480","360","800","true","true","LINE_ALBUM_Fiole價目表_260804_7.jpg",""
"FIOLE-0152","7","洗髮／護髮","QUALUCIA COLOR","雪青紫","250mL","480","360","800","true","true","LINE_ALBUM_Fiole價目表_260804_7.jpg",""
"FIOLE-0153","7","洗髮／護髮","QUALUCIA COLOR","極光紫","1L","1260","945","2100","true","true","LINE_ALBUM_Fiole價目表_260804_7.jpg",""
"FIOLE-0154","7","洗髮／護髮","QUALUCIA COLOR","仙氣粉","1L","1260","945","2100","true","true","LINE_ALBUM_Fiole價目表_260804_7.jpg",""
"FIOLE-0155","7","洗髮／護髮","QUALUCIA COLOR","清水灰","1L","1260","945","2100","true","true","LINE_ALBUM_Fiole價目表_260804_7.jpg",""
"FIOLE-0156","7","洗髮／護髮","QUALUCIA COLOR","琥珀橘","1L","1260","945","2100","true","true","LINE_ALBUM_Fiole價目表_260804_7.jpg",""
